student_id,name,age,gender,grade_level,subject_name,teacher_name,difficulty_level,hours_per_week,description,month,score,sleep_hours,study_hours,attendance_rate,internet_access,free_time_activity,parent_education,homework_completion_rate,extracurricular_activities,family_size,previous_gpa,school_transport,health_condition,tutoring,score_was_imputed,homework_completion_rate_was_imputed,study_hours_was_imputed,sleep_hours_was_imputed,previous_gpa_was_imputed,family_size_was_imputed,parent_education_was_imputed,performance_category
1,Alice Johnson,16,Female,Grade 10,math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-09-01,54.0,8.6,5.5,78,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-10-01,56.0,7.4,5.1,78,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,False,True,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-11-01,58.0,7.9,3.7,97,Yes,Reading,High School,88.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-12-01,66.0,6.4,2.9,78,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-09-01,54.0,6.8,5.5,84,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,True,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-10-01,52.0,5.2,3.6,93,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-11-01,54.0,7.8,3.8,92,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-12-01,58.0,8.9,6.2,86,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,english,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-09-01,56.0,6.1,2.2,81,Yes,Reading,High School,84.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,english,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-10-01,71.0,7.6,5.1,89,Yes,Reading,High School,78.0,No,5.0,2.4,Bus,Normal,No,True,False,False,False,False,False,False,Medium
1,Alice Johnson,16,Female,Grade 10,english,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-11-01,72.0,6.7,3.3,68,Yes,Reading,High School,93.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Medium
1,Alice Johnson,16,Female,Grade 10,english,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-12-01,71.0,6.9,6.1,75,Yes,Reading,High School,87.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Medium
1,Alice Johnson,16,Female,Grade 10,history,Ms. Layla,Medium,3,World and local history events,2023-09-01,49.0,6.3,2.4,88,Yes,Reading,High School,76.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,history,Ms. Layla,Medium,3,World and local history events,2023-10-01,50.0,8.0,2.7,85,Yes,Reading,High School,74.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,history,Ms. Layla,Medium,3,World and local history events,2023-11-01,60.0,6.2,2.7,80,Yes,Reading,High School,83.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,history,Ms. Layla,Medium,3,World and local history events,2023-12-01,75.0,8.0,4.8,74,Yes,Reading,High School,96.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Medium
1,Alice Johnson,16,Female,Grade 10,arabic,Mr. Omar,Easy,5,"Language, literature, and grammar",2023-09-01,53.0,8.2,4.0,71,Yes,Reading,High School,86.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,arabic,Mr. Omar,Easy,5,"Language, literature, and grammar",2023-10-01,62.0,8.7,2.7,88,Yes,Reading,High School,88.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,arabic,Mr. Omar,Easy,5,"Language, literature, and grammar",2023-11-01,62.0,8.2,3.6,69,Yes,Reading,High School,93.0,No,5.0,2.4,Bus,Normal,No,True,False,False,True,False,False,False,Low
1,Alice Johnson,16,Female,Grade 10,arabic,Mr. Omar,Easy,5,"Language, literature, and grammar",2023-12-01,80.0,5.2,4.1,74,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,False,False,False,False,False,False,False,Medium
